Symbol or Address, Symbol, coingecko URL
0x965772e0E9c84b6f359c8597C891108DcF1c5B1A, Pickle Finance (PICKLE), https://www.coingecko.com/en/coins/pickle-finance
0x6dd963c510c2d2f09d5eddb48ede45fed063eb36, FactorDAO (FCTR), https://www.coingecko.com/en/coins/factordao
0x539bdE0d7Dbd336b79148AA742883198BBF60342, Magic (MAGIC), https://www.coingecko.com/en/coins/magic
0x10393c20975cF177a3513071bC110f7962CD67da, Jones DAO (JONES), https://www.coingecko.com/en/coins/jones-dao
0x3B475F6f2f41853706afc9Fa6a6b8C5dF1a2724c, Zyberswap (ZYB), https://www.coingecko.com/en/coins/zyberswap 
0x326c33FD1113c1F29B35B4407F3d6312a8518431, Strips (STRP), https://www.coingecko.com/en/coins/strips-finance
0x982239d38af50b0168da33346d85fb12929c4c07, Arbitrove Governance Token (TROVE), https://www.coingecko.com/en/coins/arbitrove-governance-token
0x51318b7d00db7acc4026c88c3952b66278b6a67f, PlutusDAO (PLS), https://www.coingecko.com/en/coins/plutusdao
